brand,model,generation,year,fuel_type,transmission,engine_cc,horsepower,top_speed,weight,fuel_consumption,price_eur,scraped_at,price_usd
Porsche,911,Porsche 911 Carrera T Cabriolet,2024,Petrol,Automatic,3996.0,394.0,293.0,1555.0,10.7,231378,2026-07-02 12:07:04,270712.26
BMW,8 Series,BMW 8-Series M8 Competition Coupé,2018,Petrol,Automatic,4395.0,625.0,250.0,1875.0,10.5,231573,2026-07-02 12:07:03,270940.41
Mercedes-Benz,S Class,Mercedes-Benz S-Class S 63 AMG 4MATIC Long,2017,Petrol,Automatic,2999.0,612.0,250.0,1970.0,11.2,231577,2026-07-02 12:07:01,270945.09
Porsche,911,Porsche 911 Carrera GTS Cabriolet,2019,Petrol,Automatic,3996.0,480.0,309.0,1590.0,10.9,231783,2026-07-02 12:06:58,271186.11
Porsche,911,Porsche 911 Carrera Turbo Cabriolet,2015,Petrol,Automatic,3996.0,540.0,320.0,1640.0,9.3,231828,2026-07-02 12:06:57,271238.76
Porsche,Panamera,Porsche Panamera Turbo Executive,2016,Petrol,Automatic,2894.0,550.0,306.0,2075.0,10.6,226863,2026-07-02 12:08:00,265429.71
Toyota,Yaris,Toyota Yaris 1.5 Hybrid Energy Plus,2017,Hybrid,Automatic,1490.0,75.0,165.0,1060.0,3.3,232395,2026-07-02 12:06:53,271902.15
Land Rover,Range Rover,Land Rover Range Rover 5.0 V8 Supercharged Autobiography LWB,2017,Petrol,Automatic,5000.0,525.0,225.0,2383.0,12.8,232664,2026-07-02 12:06:51,272216.88
BMW,8 Series,BMW 8-Series M8 Gran Coupé,2022,Petrol,Automatic,4395.0,600.0,250.0,1970.0,10.7,232722,2026-07-02 12:06:47,272284.74
Ferrari,Purosangue,Ferrari Purosangue Purosangue,2023,Petrol,Automatic,6496.0,780.0,310.0,2033.0,6.1,600084,2026-07-02 11:51:22,702098.28
Ferrari,812,Ferrari 812 Competizione,2020,Petrol,Automatic,6496.0,830.0,340.0,1487.0,14.9,623667,2026-07-02 11:51:14,729690.39
Rolls-Royce,Phantom,Rolls-Royce Phantom EWB,2018,Petrol,Automatic,6749.0,571.0,250.0,2610.0,13.9,650890,2026-07-02 11:51:10,761541.3
Ferrari,812,Ferrari 812 Competizione A,2020,Petrol,Automatic,6496.0,830.0,340.0,1487.0,14.9,710440,2026-07-02 11:51:07,831214.8
Land Rover,Range Rover,Land Rover Range Rover D350 Autobiography,2022,Petrol,Automatic,2997.0,350.0,234.0,2505.0,7.6,231012,2026-07-02 12:07:08,270284.04
Aston Martin,Dbs,Aston Martin DBS 5.2 V12 Superleggera,2019,Petrol,Automatic,5204.0,725.0,340.0,1693.0,12.4,374886,2026-07-02 11:53:24,438616.62
Porsche,911,Porsche 911 Turbo S 50 Years Coupé,2019,Petrol,Automatic,3996.0,650.0,330.0,1615.0,11.2,375570,2026-07-02 11:53:22,439416.9
Bentley,Flying Spur,Bentley Flying Spur 6.0 W12,2020,Petrol,Automatic,3996.0,635.0,333.0,2337.0,14.0,383007,2026-07-02 11:53:12,448118.19
Bentley,Bentayga,Bentley Bentayga EWB V8 Azure,2020,Petrol,Automatic,3996.0,550.0,290.0,2414.0,12.0,385621,2026-07-02 11:53:10,451176.57
Ferrari,488,Ferrari 488 Spider Pista,2015,Petrol,Automatic,3902.0,670.0,325.0,1420.0,11.4,389635,2026-07-02 11:53:05,455872.95
Bentley,Bentayga,Bentley Bentayga W12 Speed,2020,Petrol,Automatic,3996.0,635.0,306.0,2408.0,14.3,390000,2026-07-02 11:53:03,456300.0
Porsche,Cayenne,Porsche Cayenne Turbo,2017,Petrol,Automatic,2995.0,550.0,286.0,2150.0,11.4,236517,2026-07-02 12:05:45,276724.89
Audi,R8,Audi R8 Coupé V10 quattro,2016,Petrol,Automatic,5204.0,540.0,320.0,1570.0,11.4,237350,2026-07-02 12:05:38,277699.5
Porsche,911,Porsche 911 Carrera S Cabriolet,2024,Petrol,Automatic,3996.0,480.0,308.0,1600.0,10.5,237478,2026-07-02 12:05:34,277849.26
Porsche,Cayenne,Porsche Cayenne GTS Coupé,2023,Petrol,Automatic,2995.0,500.0,275.0,2195.0,12.6,237610,2026-07-02 12:05:32,278003.7
Land Rover,Range Rover,Land Rover Range Rover P530 First Edition,2022,Petrol,Automatic,4395.0,530.0,250.0,2585.0,11.7,239361,2026-07-02 12:05:22,280052.37
Maserati,Grancabrio,Maserati GranCabrio Sport,2018,Petrol,Automatic,4691.0,460.0,288.0,1880.0,14.5,239368,2026-07-02 12:05:20,280060.56
Aston Martin,Dbs,Aston Martin DBS Volante 5.2 V12 Superleggera,2020,Petrol,Automatic,5204.0,725.0,340.0,1863.0,12.4,409938,2026-07-02 11:52:41,479627.46
McLaren,765Lt,McLaren 765LT 765LT,2020,Petrol,Automatic,3994.0,765.0,330.0,1229.0,13.0,412000,2026-07-02 11:52:40,482040.0
Porsche,911,Porsche 911 Carrera S/T Coupé,2019,Petrol,Automatic,3996.0,525.0,300.0,1355.0,13.8,422183,2026-07-02 11:52:33,493954.11
Bentley,Mulsanne,Bentley Mulsanne Speed,2017,Petrol,Automatic,6752.0,537.0,305.0,2585.0,15.0,425477,2026-07-02 11:52:31,497808.09
Bentley,Bentayga,Bentley Bentayga EWB V8 Mulliner,2020,Petrol,Automatic,3996.0,550.0,290.0,2414.0,12.0,425887,2026-07-02 11:52:30,498287.79
Bentley,Continental,Bentley Continental GTC 6.0 W12 Speed,2019,Petrol,Automatic,3996.0,659.0,335.0,2336.0,13.7,426731,2026-07-02 11:52:28,499275.27
Rolls-Royce,Cullinan,Rolls-Royce Cullinan Cullinan,2019,Petrol,Automatic,6749.0,571.0,250.0,2660.0,15.0,432485,2026-07-02 11:52:22,506007.45
Rolls-Royce,Ghost,Rolls-Royce Ghost EWB,2020,Petrol,Automatic,6749.0,571.0,250.0,2530.0,15.3,438881,2026-07-02 11:52:19,513490.77
Bentley,Continental,Bentley Continental GT 6.0 W12 Speed,2018,Petrol,Automatic,3996.0,659.0,335.0,2173.0,13.5,392201,2026-07-02 11:53:01,458875.17
McLaren,750S,McLaren 750S Spider,2023,Petrol,Automatic,3994.0,750.0,332.0,1438.0,12.2,393074,2026-07-02 11:52:59,459896.58
Ferrari,812,Ferrari 812 Superfast,2017,Petrol,Automatic,6496.0,800.0,340.0,1525.0,14.9,393865,2026-07-02 11:52:57,460822.05
Bentley,Mulsanne,Bentley Mulsanne Mulsanne,2017,Petrol,Automatic,6752.0,512.0,296.0,2585.0,15.0,398300,2026-07-02 11:52:55,466011.0
Rolls-Royce,Ghost,Rolls-Royce Ghost Ghost,2020,Petrol,Automatic,6749.0,571.0,250.0,2490.0,15.2,400939,2026-07-02 11:52:51,469098.63
Mercedes-Benz,G Class,Mercedes-Benz G-Class G 65 AMG,2015,Petrol,Automatic,3982.0,630.0,230.0,2480.0,17.0,402032,2026-07-02 11:52:48,470377.44
Bentley,Bentayga,Bentley Bentayga EWB V8,2020,Petrol,Automatic,3996.0,550.0,290.0,2414.0,12.0,352473,2026-07-02 11:54:19,412393.41
Porsche,911,Porsche 911 GT2 RS,2015,Petrol,Automatic,3996.0,700.0,340.0,1445.0,11.8,353285,2026-07-02 11:54:14,413343.45
Porsche,911,Porsche 911 Turbo S Coupé,2024,Petrol,Automatic,3996.0,640.0,322.0,1700.0,11.5,355078,2026-07-02 11:54:12,415441.26
McLaren,750S,McLaren 750S 750S,2023,Petrol,Automatic,3994.0,750.0,332.0,1389.0,12.2,358174,2026-07-02 11:54:04,419063.58
Ferrari,488,Ferrari 488 GTB Pista,2015,Petrol,Automatic,3902.0,670.0,330.0,1370.0,11.4,359484,2026-07-02 11:53:59,420596.28
Maserati,Mc20,Maserati MC20 Cielo,2023,Petrol,Automatic,3000.0,630.0,320.0,1540.0,11.5,360450,2026-07-02 11:53:57,421726.5
Mercedes-Benz,S Class,Mercedes-Benz S-Class Maybach S 680 4MATIC,2021,Petrol,Automatic,2999.0,612.0,250.0,2200.0,13.4,361852,2026-07-02 11:53:54,423366.84
Porsche,911,Porsche 911 Carrera GT3 RS Coupé,2019,Petrol,Automatic,3996.0,525.0,296.0,1425.0,13.4,363080,2026-07-02 11:53:51,424803.6
Bentley,Bentayga,Bentley Bentayga V8 Azure,2020,Petrol,Automatic,3996.0,550.0,290.0,2316.0,12.0,366200,2026-07-02 11:53:42,428454.0
Lamborghini,Urus,Lamborghini Urus Performante,2018,Petrol,Automatic,3996.0,666.0,306.0,2150.0,14.1,370603,2026-07-02 11:53:36,433605.51
Porsche,911,Porsche 911 Carrera Turbo S Cabriolet,2024,Petrol,Automatic,3996.0,640.0,322.0,1785.0,11.6,370677,2026-07-02 11:53:35,433692.09
Bentley,Continental,Bentley Continental GTC Mulliner,2024,Hybrid,Automatic,3996.0,600.0,285.0,2536.0,9.0,371053,2026-07-02 11:53:33,434132.01
Bentley,Bentayga,Bentley Bentayga V8 Speed,2020,Petrol,Automatic,3996.0,550.0,290.0,2288.0,12.0,372777,2026-07-02 11:53:28,436149.09
Mercedes-Benz,S Class,Mercedes-Benz S-Class S 65 AMG Cabriolet,2016,Petrol,Automatic,2999.0,630.0,250.0,2155.0,12.0,330033,2026-07-02 11:55:21,386138.61
Bentley,Continental,Bentley Continental GTC Azure,2024,Hybrid,Automatic,3996.0,519.0,270.0,2528.0,9.0,331296,2026-07-02 11:55:19,387616.32
Ferrari,296,Ferrari 296 GTS,2023,Petrol,Automatic,2992.0,663.0,330.0,1470.0,6.4,332281,2026-07-02 11:55:16,388768.77
Mercedes-Benz,S Class,Mercedes-Benz S-Class S 65 AMG Long,2017,Petrol,Automatic,2999.0,630.0,250.0,2150.0,14.2,332396,2026-07-02 11:55:14,388903.32
Ferrari,F8,Ferrari F8 Spider,2020,Petrol,Automatic,3902.0,720.0,340.0,1400.0,13.0,333169,2026-07-02 11:55:07,389807.73
Mercedes-Benz,S Class,Mercedes-Benz S-Class S 65 AMG Coupé,2018,Petrol,Automatic,2999.0,630.0,250.0,2085.0,14.2,339051,2026-07-02 11:55:01,396689.67
Mercedes-Benz,Amg Gt,Mercedes-Benz AMG GT 63 Pro 4MATIC+,2023,Petrol,Automatic,3982.0,612.0,317.0,1850.0,14.0,340224,2026-07-02 11:54:58,398062.08
Bentley,Continental,Bentley Continental GTC 4.0 V8,2019,Petrol,Automatic,3996.0,550.0,318.0,2235.0,11.7,340468,2026-07-02 11:54:56,398347.56
Bentley,Continental,Bentley Continental GT Mulliner,2024,Hybrid,Automatic,3996.0,600.0,335.0,2359.0,8.9,341766,2026-07-02 11:54:52,399866.22
Lamborghini,Urus,Lamborghini Urus S,2018,Petrol,Automatic,3996.0,666.0,305.0,2197.0,14.1,342279,2026-07-02 11:54:51,400466.43
Land Rover,Range Rover,Land Rover Range Rover P615 SV Black,2022,Petrol,Automatic,4395.0,615.0,261.0,2784.0,11.8,342522,2026-07-02 11:54:37,400750.74
Bentley,Bentayga,Bentley Bentayga V8 S,2020,Petrol,Automatic,3996.0,550.0,290.0,2288.0,12.0,343624,2026-07-02 11:54:36,402040.08
Porsche,911,Porsche 911 Turbo S Cabriolet,2019,Petrol,Automatic,3996.0,650.0,330.0,1685.0,11.3,343883,2026-07-02 11:54:34,402343.11
McLaren,720S,McLaren 720S Spider,2020,Petrol,Automatic,3994.0,720.0,341.0,1368.0,10.8,344185,2026-07-02 11:54:31,402696.45
Mercedes-Benz,S Class,Mercedes-Benz S-Class S 65 AMG Cabriolet,2018,Petrol,Automatic,2999.0,630.0,250.0,2155.0,14.2,347279,2026-07-02 11:54:27,406316.43
Bentley,Continental,Bentley Continental GT Speed,2024,Hybrid,Automatic,3996.0,600.0,335.0,2359.0,8.9,316651,2026-07-02 11:56:22,370481.67
Mercedes-Benz,G Class,Mercedes-Benz G-Class G 63 AMG,2024,Petrol,Automatic,3982.0,585.0,220.0,2540.0,14.8,317104,2026-07-02 11:56:20,371011.68
McLaren,720S,McLaren 720S 720S,2017,Petrol,Automatic,3994.0,720.0,341.0,1319.0,10.7,318185,2026-07-02 11:56:18,372276.45
Mercedes-Benz,Sl,Mercedes-Benz SL 65 AMG,2016,Petrol,Automatic,5980.0,630.0,250.0,1850.0,11.9,319069,2026-07-02 11:56:13,373310.73
Mercedes-Benz,G Class,Mercedes-Benz G-Class G 500 4x4,2015,Petrol,Automatic,3982.0,422.0,210.0,2921.0,13.8,319377,2026-07-02 11:56:11,373671.09
Maserati,Mc20,Maserati MC20 MC20,2021,Petrol,Automatic,3000.0,630.0,325.0,1450.0,11.6,322700,2026-07-02 11:56:05,377559.0
Bentley,Bentayga,Bentley Bentayga V8,2020,Petrol,Automatic,3996.0,550.0,290.0,2316.0,12.0,322782,2026-07-02 11:56:03,377654.94
Bentley,Continental,Bentley Continental GTC Speed,2024,Hybrid,Automatic,3996.0,600.0,285.0,2536.0,9.0,323256,2026-07-02 11:56:02,378209.52
Ferrari,488,Ferrari 488 Spider,2015,Petrol,Automatic,3902.0,670.0,325.0,1420.0,11.4,323290,2026-07-02 11:56:00,378249.3
Bentley,Flying Spur,Bentley Flying Spur 4.0 V8 PHEV Mulliner,2024,Plug-In Hybrid,Automatic,3996.0,600.0,285.0,2546.0,9.1,323834,2026-07-02 11:55:57,378885.78
Land Rover,Range Rover,Land Rover Range Rover P615 SV,2022,Petrol,Automatic,4395.0,615.0,261.0,2784.0,11.7,324342,2026-07-02 11:55:54,379480.14
Porsche,911,Porsche 911 Carrera GT3 Touring Coupé,2024,Petrol,Automatic,3996.0,510.0,311.0,1452.0,13.8,326478,2026-07-02 11:55:45,381979.26
Porsche,911,Porsche 911 Carrera GT3 Coupé,2024,Petrol,Automatic,3996.0,510.0,311.0,1454.0,13.8,326478,2026-07-02 11:55:44,381979.26
Porsche,911,Porsche 911 Carrera Sprit 70 Cabriolet,2024,Petrol,Automatic,3996.0,485.0,312.0,1650.0,10.4,327178,2026-07-02 11:55:42,382798.26
Aston Martin,Db12,Aston Martin DB12 4.0 V8 Volante,2024,Petrol,Automatic,3982.0,689.0,325.0,1796.0,12.2,327601,2026-07-02 11:55:39,383293.17
Porsche,911,Porsche 911 Turbo S Coupé,2019,Petrol,Automatic,3996.0,650.0,330.0,1615.0,11.2,328083,2026-07-02 11:55:38,383857.11
Ferrari,F8,Ferrari F8 Tributo,2020,Petrol,Automatic,3902.0,720.0,340.0,1370.0,12.9,305591,2026-07-02 11:57:22,357541.47
Maserati,Mcpura,Maserati MCPura MCPura,2025,Petrol,Automatic,3000.0,630.0,325.0,1475.0,11.5,305617,2026-07-02 11:57:20,357571.89
McLaren,600Lt,McLaren 600LT Spider,2019,Petrol,Automatic,3799.0,600.0,324.0,1297.0,11.7,306000,2026-07-02 11:57:17,358020.0
Ferrari,Gtc4,Ferrari GTC4 Lusso V8,2016,Petrol,Automatic,3855.0,610.0,320.0,1740.0,11.6,307152,2026-07-02 11:57:11,359367.84
Bentley,Continental,Bentley Continental GT Azure,2024,Hybrid,Automatic,3996.0,519.0,270.0,2350.0,8.9,307601,2026-07-02 11:57:07,359893.17
Mercedes-Benz,Amg Gt,Mercedes-Benz AMG GT 63 4MATIC+,2023,Petrol,Automatic,3982.0,585.0,315.0,1795.0,14.0,310458,2026-07-02 11:56:57,363235.86
Maserati,Levante,Maserati Levante 3.8 V8 Ultima Blu Royale,2021,Petrol,Automatic,3799.0,580.0,302.0,2070.0,15.9,310626,2026-07-02 11:56:55,363432.42
Porsche,911,Porsche 911 Turbo Cabriolet,2019,Petrol,Automatic,3996.0,580.0,320.0,1685.0,11.2,310683,2026-07-02 11:56:54,363499.11
Bentley,Continental,Bentley Continental GT 4.0 V8,2018,Petrol,Automatic,3996.0,550.0,318.0,2065.0,11.3,312039,2026-07-02 11:56:49,365085.63
Mercedes-Benz,S Class,Mercedes-Benz S-Class Maybach S 680 4MATIC,2026,Petrol,Automatic,2999.0,612.0,250.0,2280.0,11.0,312583,2026-07-02 11:56:45,365722.11
Lamborghini,Urus,Lamborghini Urus Urus,2018,Petrol,Automatic,3996.0,650.0,305.0,2200.0,12.3,312975,2026-07-02 11:56:42,366180.75
Porsche,911,Porsche 911 Dakar,2019,Petrol,Automatic,3996.0,480.0,240.0,1580.0,11.3,313183,2026-07-02 11:56:40,366424.11
Maserati,Mcpura,Maserati MCPura Cielo,2025,Petrol,Automatic,3000.0,630.0,320.0,1540.0,11.5,314070,2026-07-02 11:56:37,367461.9
Mercedes-Benz,G Class,Mercedes-Benz G-Class G 63 AMG,2018,Petrol,Automatic,3982.0,585.0,220.0,2460.0,13.1,314550,2026-07-02 11:56:31,368023.5
Ferrari,Roma,Ferrari Roma Spider,2023,Petrol,Automatic,3855.0,620.0,320.0,1556.0,10.7,315848,2026-07-02 11:56:25,369542.16
Maserati,Levante,Maserati Levante 3.8 V8 Ultima Nero Ribelle,2021,Petrol,Automatic,3799.0,580.0,302.0,2070.0,15.9,299441,2026-07-02 11:57:57,350345.97
Porsche,Cayenne,Porsche Cayenne Turbo GT Coupé,2019,Petrol,Automatic,2995.0,640.0,300.0,2195.0,11.1,299517,2026-07-02 11:57:55,350434.89
Bentley,Flying Spur,Bentley Flying Spur 4.0 V8 PHEV Speed,2024,Plug-In Hybrid,Automatic,3996.0,600.0,285.0,2546.0,9.1,300041,2026-07-02 11:57:54,351047.97
Aston Martin,Db11,Aston Martin DB11 5.2 V12 AMR Coupé,2016,Petrol,Automatic,5204.0,639.0,334.0,1770.0,13.4,300507,2026-07-02 11:57:51,351593.19
Ferrari,296,Ferrari 296 GTB,2022,Petrol,Automatic,2992.0,663.0,330.0,1470.0,6.4,300704,2026-07-02 11:57:49,351823.68
Mercedes-Benz,Sl,Mercedes-Benz SL 63 AMG 4MATIC+,2022,Petrol,Automatic,3982.0,585.0,315.0,1870.0,13.1,302034,2026-07-02 11:57:42,353379.78
Nissan,Gt R,Nissan GT-R Nismo,2016,Petrol,Automatic,3799.0,600.0,315.0,1725.0,11.8,302800,2026-07-02 11:57:35,354276.0
Land Rover,Range Rover,Land Rover Range Rover 5.0 V8 Supercharged SVAutobiography LWB,2017,Petrol,Automatic,5000.0,565.0,225.0,2497.0,13.1,303911,2026-07-02 11:57:32,355575.87
Mercedes-Benz,Gls,Mercedes-Benz GLS Maybach GLS 600 4MATIC,2023,Petrol,Automatic,3982.0,557.0,250.0,2715.0,13.9,304311,2026-07-02 11:57:30,356043.87
Bentley,Flying Spur,Bentley Flying Spur 4.0 V8,2020,Petrol,Automatic,3996.0,550.0,318.0,2330.0,11.6,304331,2026-07-02 11:57:28,356067.27
Audi,R8,Audi R8 Spyder V10 Performance quattro,2016,Petrol,Automatic,5204.0,620.0,329.0,1670.0,13.3,305019,2026-07-02 11:57:25,356872.23
Aston Martin,Dbx,Aston Martin DBX DBX,2020,Petrol,Automatic,3982.0,550.0,291.0,2245.0,14.3,288013,2026-07-02 11:58:44,336975.21
Land Rover,Range Rover Sport,Land Rover Range Rover Sport P635 SV Carbon,2022,Petrol,Automatic,4395.0,635.0,290.0,2460.0,11.9,289481,2026-07-02 11:58:36,338692.77
Audi,R8,Audi R8 Coupé V10 Performance quattro,2016,Petrol,Automatic,5204.0,620.0,331.0,1570.0,13.1,289559,2026-07-02 11:58:35,338784.03
Land Rover,Range Rover Sport,Land Rover Range Rover Sport P635 SV Edition Two,2022,Petrol,Automatic,4395.0,635.0,290.0,2460.0,11.9,290584,2026-07-02 11:58:27,339983.28
Mercedes-Benz,S Class,Mercedes-Benz S-Class Maybach S 650 4MATIC,2017,Petrol,Automatic,2999.0,630.0,250.0,2260.0,14.0,293259,2026-07-02 11:58:16,343113.03
Porsche,911,Porsche 911 Targa 4 GTS,2020,Petrol,Automatic,3996.0,480.0,307.0,1625.0,10.8,243183,2026-07-02 12:04:41,284524.11
Bentley,Bentayga,Bentley Bentayga 3.0 V6 Hybrid S,2020,Hybrid,Automatic,3996.0,340.0,254.0,2548.0,9.6,243936,2026-07-02 12:04:28,285405.12
McLaren,570S,McLaren 570S 570S,2015,Petrol,Automatic,3799.0,570.0,328.0,1320.0,11.2,244000,2026-07-02 12:04:26,285480.0
Porsche,911,Porsche 911 Carrera GTS Coupé,2024,Petrol,Automatic,3996.0,485.0,312.0,1570.0,10.5,244378,2026-07-02 12:04:24,285922.26
Bentley,Bentayga,Bentley Bentayga 3.0 V6 Hybrid,2020,Hybrid,Automatic,3996.0,340.0,254.0,2548.0,9.6,235099,2026-07-02 12:06:04,275065.83
BMW,8 Series,BMW 8-Series M8 Competition Cabrio,2019,Petrol,Automatic,4395.0,625.0,250.0,2000.0,10.6,235648,2026-07-02 12:05:59,275708.16
Mercedes-Benz,Gle,Mercedes-Benz GLE 63 AMG S 4MATIC+ Coupé,2020,Petrol,Automatic,3982.0,612.0,250.0,2345.0,11.5,235944,2026-07-02 12:05:55,276054.48
Mercedes-Benz,G Class,Mercedes-Benz G-Class G 63 AMG,2015,Petrol,Automatic,3982.0,571.0,210.0,2450.0,13.8,236034,2026-07-02 12:05:53,276159.78
Maserati,Granturismo,Maserati GranTurismo MC,2018,Petrol,Automatic,3000.0,460.0,301.0,1773.0,14.3,236468,2026-07-02 12:05:47,276667.56
Porsche,911,Porsche 911 Turbo Coupé,2019,Petrol,Automatic,3996.0,580.0,320.0,1615.0,11.1,294683,2026-07-02 11:58:13,344779.11
Lamborghini,Huracan,Lamborghini Huracán Spyder LP610-4,2016,Petrol,Automatic,5204.0,610.0,324.0,1542.0,12.3,294766,2026-07-02 11:58:12,344876.22
Mercedes-Benz,Sl,Mercedes-Benz SL 63 AMG 4MATIC+ Night Edition,2022,Petrol,Automatic,3982.0,585.0,315.0,1870.0,13.4,294829,2026-07-02 11:58:10,344949.93
Mercedes-Benz,Gls,Mercedes-Benz GLS 63 AMG 4MATIC+,2023,Petrol,Automatic,3982.0,612.0,250.0,2600.0,13.3,295698,2026-07-02 11:58:07,345966.66
Mercedes-Benz,Amg Gt,Mercedes-Benz AMG GT 63 4MATIC+ Night Edition,2023,Petrol,Automatic,3982.0,585.0,315.0,1795.0,14.0,297689,2026-07-02 11:58:03,348296.13
Ferrari,488,Ferrari 488 GTB,2015,Petrol,Automatic,3902.0,670.0,330.0,1370.0,11.4,298091,2026-07-02 11:58:00,348766.47
Bentley,Continental,Bentley Continental GT 6.0 W12,2018,Petrol,Automatic,3996.0,635.0,333.0,2144.0,12.2,279323,2026-07-02 11:59:39,326807.91
Land Rover,Range Rover Sport,Land Rover Range Rover Sport P635 SV Black,2022,Petrol,Automatic,4395.0,635.0,290.0,2460.0,11.9,280118,2026-07-02 11:59:33,327738.06
Bentley,Continental,Bentley Continental GTC,2024,Hybrid,Automatic,3996.0,519.0,270.0,2528.0,9.0,283303,2026-07-02 11:59:22,331464.51
Porsche,911,Porsche 911 Carrera GT3 Touring Coupé,2019,Petrol,Automatic,3996.0,510.0,320.0,1393.0,12.9,284383,2026-07-02 11:59:16,332728.11
Mercedes-Benz,Amg Gt,Mercedes-Benz AMG GT 55 4MATIC+,2023,Petrol,Automatic,3982.0,476.0,295.0,1795.0,14.0,284863,2026-07-02 11:59:10,333289.71
Porsche,911,Porsche 911 Carrera GT3 Coupé,2019,Petrol,Automatic,3996.0,510.0,320.0,1393.0,12.9,284883,2026-07-02 11:59:06,333313.11
BMW,X6,BMW X6 M Competition,2023,Petrol,Automatic,4395.0,625.0,250.0,2345.0,12.7,249163,2026-07-02 12:03:50,291520.71
Audi,R8,Audi R8 Spyder V10 RWD,2016,Petrol,Automatic,5204.0,540.0,318.0,1655.0,12.6,250074,2026-07-02 12:03:42,292586.58
McLaren,570Gt,McLaren 570GT 570GT,2015,Petrol,Automatic,3799.0,570.0,328.0,1320.0,11.2,250200,2026-07-02 12:03:40,292734.0
BMW,7 Series,BMW 7-Series M760Li xDrive,2019,Petrol,Automatic,6592.0,585.0,250.0,2195.0,12.4,250527,2026-07-02 12:03:38,293116.59
BMW,7 Series,BMW 7-Series M760Li xDrive,2015,Petrol,Automatic,6592.0,610.0,250.0,2155.0,12.8,250669,2026-07-02 12:03:34,293282.73
Porsche,911,Porsche 911 Targa 4 S,2024,Petrol,Automatic,3996.0,480.0,308.0,1670.0,10.8,250778,2026-07-02 12:03:32,293410.26
Maserati,Quattroporte,Maserati Quattroporte 3.0 V6 S Q4 Modena,2021,Petrol,Automatic,2979.0,430.0,288.0,1980.0,12.2,239831,2026-07-02 12:05:11,280602.27
Mercedes-Benz,S Class,Mercedes-Benz S-Class S 63 AMG 4MATIC Coupé,2018,Petrol,Automatic,2999.0,612.0,250.0,1980.0,11.2,240591,2026-07-02 12:05:08,281491.47
Bentley,Flying Spur,Bentley Flying Spur 4.0 V8 PHEV,2024,Plug-In Hybrid,Automatic,3996.0,519.0,270.0,2541.0,9.3,240659,2026-07-02 12:05:06,281571.03
Mercedes-Benz,Amg Gt,Mercedes-Benz AMG GT C Roadster,2016,Petrol,Automatic,3982.0,557.0,316.0,1635.0,12.5,240958,2026-07-02 12:05:04,281920.86
Mercedes-Benz,G Class,Mercedes-Benz G-Class G 500,2018,Petrol,Automatic,3982.0,422.0,210.0,2329.0,11.5,242160,2026-07-02 12:04:59,283327.2
Porsche,911,Porsche 911 Carrera 4 GTS Cabriolet,2019,Petrol,Automatic,3996.0,480.0,307.0,1640.0,11.0,242683,2026-07-02 12:04:51,283939.11
Porsche,Cayenne,Porsche Cayenne Turbo Coupé,2019,Petrol,Automatic,2995.0,550.0,286.0,2175.0,11.1,242817,2026-07-02 12:04:48,284095.89
Land Rover,Range Rover Sport,Land Rover Range Rover Sport P635 SV Edition One,2022,Petrol,Automatic,4395.0,635.0,290.0,2460.0,11.9,285322,2026-07-02 11:59:03,333826.74
